Key,Value
5660,"""弓，弓箭，弩，弓，弩""[/完]","""Bow,bow and arrow,crossbow,bows,crossbows""[/end]"
5247,"你应该感到非常自豪，%pcf。[/center]
迪贝拉之家选择认可[/center]
给你一个新头衔，%lev。[/center]
你的努力和成就之美[/center]
并没有被忽视。[/center]
[/结尾]","You should be very proud, %pcf.[/center]
The House of Dibella has chosen to recognize[/center]
you by a new title, %lev.[/center]
The beauty of your efforts and accomplishments[/center]
have not gone unnoticed.[/center]
[/end]"
5293,"那么从此以后，你就被称为[/center]
%pcn, %lev [/center]
法师公会。这需要耐心[/center]
努力获得所有的访问权限[/center]
公会提供，我的孩子，但我现在可以[/center]
让您可以接触我们的培训师和我们的[/中心]
咒语制造者。力量太小，力量太大[/center]
时间毁掉了很多人[/center]
女士。法师公会什么都不是[/center]
如果不认真的话。[/center]
[/结尾]","Then henceforth, you will be known as[/center]
%pcn, %lev of the[/center]
Mages Guild. It will take patience and[/center]
hard effort to gain access to all the[/center]
Guild offers, my child, but I can now[/center]
give you access to our trainers and our[/center]
Spellmaker. Too much power in too little[/center]
time has destroyed many a man and[/center]
woman. The Mages Guild is nothing[/center]
if not conscientious.[/center]
[/end]"
5221,"你和教练练习了3个小时。培训师[/中心]
告诉你反思你所学到的东西，[/center]
看看你是否能充分利用它。[/center]
[/结尾]","You and the trainer practice for 3 hours. The trainer[/center]
tells you to reflect on what you've learned,[/center]
and see if you can put it to good use.[/center]
[/end]"
5240,"%pcn，凭借无与伦比[/center]
奉献精神和传奇的个人能力，我们[/center]
%fon 很荣幸[/center]
为您提供 %lev 的头衔[/center]
%fon。除了文章[/center]
我们传统上授予的武器，骑士团[/center]
和 %reg 的人们的愿望[/center]
向您提供房屋契约，所以[/center]
您将把 %reg 视为您的家[/center]
以及您的监护权。标题[/center]
%lev是最高荣誉[/center]
%fon 认可，但我们的骄傲[/center]
在你心中没有界限。对于我们许多人来说，[/中心]
你就是我们所向往的理想，[/center]
%lev %pcn。[/中心]
[/结尾]","%pcn, by virtue of unparalleled[/center]
devotion and legendary personal prowess, we[/center]
of %fon are honored to[/center]
offer you the title of %lev of[/center]
%fon. In addition to the article[/center]
of armament we traditionally bestow, the Order[/center]
and the people of %reg wish[/center]
to present you with the deed to a house, so[/center]
you will consider %reg your home[/center]
as well as your custody. The title of[/center]
%lev is the highest honor[/center]
%fon recognizes, but our pride[/center]
in you knows no bounds. For many of us,[/center]
you are the ideal to which we aspire,[/center]
%lev %pcn.[/center]
[/end]"
5248,"%pcn，不胜荣幸[/center]
有责任通知您 Stendarr 神庙[/center]
已选择您在[/center]中拥有新头衔
寺庙，%lev 的寺庙。[/center]
我们认可您的微薄努力[/center]
将和平传播到髂骨的所有地区[/center]
湾。继续争取怜悯和[/中心]
正义，%lev %pcf。[/center]
Stendarr 没有比这更大的责任了。[/center]
[/结尾]","%pcn, it is my honored[/center]
duty to inform you that the Temple of Stendarr[/center]
has chosen you to bear a new title in the[/center]
temple, that of %lev.[/center]
We have recognized your humble efforts to[/center]
spread peace to all the regions of the Iliac[/center]
Bay. Continue to strive for mercy and[/center]
justice, %lev %pcf.[/center]
There is no greater duty to Stendarr.[/center]
[/end]"
6310,"静物与[/记录]
静物与[/记录]
静物与[/记录]
静物与[/结束]","Still-life with[/record]
Still-life with[/record]
Still-life with[/record]
Still Life with[/end]"
6406,"在春天[/记录]
春天[/记录]
春潮里[/记录]
春天的时候[/记录]
春节期间[/记录]
在太阳的黎明[/记录]
一号种子[/记录]
在雨的手中[/记录]
种植期间[/结束]","in the Spring[/record]
in Spring[/record]
in Springtide[/record]
in Springtime[/record]
during the Spring[/record]
in Sun's Dawn[/record]
in First Seed[/record]
in Rain's Hand[/record]
during Planting[/end]"
6109,"沙漠[/记录]
沙漠[/记录]
沙漠[/记录]
沙漠[/记录]
废物[/记录]
荒地[/记录]
沙丘[/记录]
沙丘[/记录]
草原[/记录]
草原[/记录]
阿利克[/记录]
草原[/记录]
米利都[/记录]
阿利克沙漠[/结束]","Desert[/record]
Desert[/record]
Desert[/record]
Desert[/record]
Waste[/record]
Wasteland[/record]
Dunes[/record]
Dune[/record]
Steppe[/record]
Steppe[/record]
Alik'r[/record]
Steppes[/record]
Miletus[/record]
Alik'r Desert[/end]"
7226,"%1com。在哪里可以找到%key？[/record]
%1com。我正在尝试访问 %key。[/record]
%1com。你知道%key在哪里吗？[/record]
%1com。我需要找到%key。[/record]
%1com。 %key 的最佳方式是什么？[/end]","%1com. Where can I find %key?[/record]
%1com. I am trying to get to %key.[/record]
%1com. Do you know where %key is?[/record]
%1com. I need to find %key.[/record]
%1com. What is the best way to %key?[/end]"
6115,"废墟[/记录]
废墟[/记录]
废墟[/记录]
废墟[/记录]
剩余[/记录]
遗迹[/记录]
余数[/记录]
残迹[/完]","Ruins[/record]
Ruins[/record]
Ruins[/record]
Ruins[/record]
Remains[/record]
Relics[/record]
Remainders[/record]
Remnants[/end]"
6114,"字段[/记录]
字段[/记录]
字段[/记录]
字段[/记录]
字段[/记录]
字段[/记录]
清算[/记录]
草原[/记录]
范围[/记录]
农场[/记录]
农庄[/记录]
田庄[/完]","Field[/record]
Field[/record]
Field[/record]
Field[/record]
FIelds[/record]
FIelds[/record]
Clearing[/record]
Grassland[/record]
Range[/record]
Farm[/record]
Farmstead[/record]
Grange[/end]"
6614,"%pcf，你冷酷无情地漠视[/center]
人的生命，令人厌恶的漠不关心[/center]
因谋杀而收受金子。我们不能再多了[/center]
对你很高兴。兄弟会已选择[/center]
再次提升您在我们的队伍中的地位。你是[/中心]
现在%lev%pcn。它[/中心]
不过，这不仅仅是一个标题。这意味着你[/center]
现在可以与我们的间谍大师（角色）交谈[/center]
谁让我们了解最新、最[/center]
伊利亚克湾地区发生的重要事件。[/center]
我自己可以给你一个小谣言。有[/中心]
一个名为 %dng,[/center] 的墓地
拥有最令人愉快的宝藏和[/center]
惊喜。我知道你会喜欢的。在这里，[/中心]
我会在你的地图上标记它，%pcf。[/center]
或者我应该说，%lev %pcf。[/center]
[/结尾]","%pcf, you have a callous disregard for[/center]
human life, a disgusting nonchalance about[/center]
accepting gold for murder. We couldn't be more[/center]
delighted with you. The Brotherhood has chosen[/center]
to once again promote you in our ranks. You are[/center]
now %lev %pcn. It[/center]
is more than a title, though. It means that you[/center]
can now speak to our Spymaster, the character[/center]
who keeps us informed about the newest, most[/center]
important happenings in the Iliac Bay region.[/center]
I can give you a little rumor myself. There's[/center]
a cemetery called %dng,[/center]
with the most delightful treasures and[/center]
surprises. I know you'll love it. Here,[/center]
I'll mark it on your map, %pcf.[/center]
Or I should say, %lev %pcf.[/center]
[/end]"
6107,"岛屿[/记录]
岛屿[/记录]
岛屿[/记录]
岛屿[/记录]
岛屿[/记录]
岛[/记录]
凯岛[/记录]
密钥[/记录]
环礁[/记录]
巴尔菲拉[/记录]
贝托尼[/记录]
贾嘎达[/记录]
赛比亚德斯[/记录]
废品[/完]","Island[/record]
Island[/record]
Island[/record]
Island[/record]
Island[/record]
Isle[/record]
Cay[/record]
Key[/record]
Atoll[/record]
Balfiera[/record]
Betony[/record]
Jagadha[/record]
Cybiades[/record]
Scapcrag[/end]"
8202,"%mn的要塞[/record]
城堡%mn[/记录]
城堡%mn[/记录]
%mn要塞[/记录]
%mn[/记录] 的保留
%mn 的保留[/记录]
%mn 的城堡[/记录]
塔%mn[/记录]
%mn 塔[/记录]
%mn之塔[/记录]
%mn 的守卫[/记录]
%mn 大厅[/结束]","The Stronghold of %mn[/record]
Castle %mn[/record]
Castle %mn[/record]
The Fortress of %mn[/record]
The Hold of %mn[/record]
%mn's Hold[/record]
The Citadel of %mn[/record]
Tower %mn[/record]
%mn Tower[/record]
The Tower of %mn[/record]
%mn's Guard[/record]
%mn Hall[/end]"
7705,"一个无聊的守卫说“只有城堡工作人员和[/中心]
值得信赖的客人可以走出这些门。”[/center]
[/结尾]","A bored guard says ""Only castle staff and[/center]
trusted guests are allowed beyond those doors.""[/center]
[/end]"
8052,"你没有足够的金币，%pcn。你将花费[/center]
额外 %pdg 天入狱。[/center]
[/结尾]","You do not have enough gold, %pcn. You will spend[/center]
an additional %pdg days in prison.[/center]
[/end]"
7231,"%1com。请大家传播一点消息好吗？[/record]
%1com。如果你愿意的话，请让我闲聊一下。[/记录]
%1com。你最近没有听到什么有趣的事情吧？[/record]
%1com。现在上流社会都在说什么？[/记录]
%1com。您能告诉我关于整个世界的最新情况吗？[/end]","%1com. Please, disseminate a little news, will you?[/record]
%1com. Indulge me in a little gossip, if you would.[/record]
%1com. You haven't heard anything interesting lately, have you?[/record]
%1com. What is on the tongue of polite society these days?[/record]
%1com. Would you kindly update me on the world at large?[/end]"
7287,"轻松愉快地完成了。 %hnt。[/记录]
当然是为了你。去%hnt。[/记录]
最简单的任务。尝试%hnt。[/记录]
很高兴%hnr。 %hnt。[/记录]
一个微不足道的请求。去%hnt。[/结束]","Readily and gladly done. It's %hnt.[/record]
For you, of course. Go %hnt.[/record]
The simplest of tasks. Try %hnt.[/record]
Gladly %hnr. It's %hnt.[/record]
A trivial request. Go %hnt.[/end]"
7280,"%pcn！如果我能帮忙就好了。我真的对 %key 一无所知。[/record]
我愿意为你卖掉 Underking 的 skivvies %pcf，但是请原谅我。我只是不知道。[/记录]
我很痛苦地承认这一点，尤其是对你，但我没有任何线索。[/记录]
请不要反对我，但我只是没有答案。[/记录]
在您为我们 %pcf 所做的一切之后，我很乐意向您介绍 %key。不过我不知道。[/结束]","%pcn! If only I could help. I really and truly don't know anything about %key.[/record]
I would sell the Underking's skivvies for you %pcf, but forgive me. I just don't know.[/record]
I pains me to admit this, especially to you, but I haven't got a clue.[/record]
Please don't hold it against me, but I just don't have the answer.[/record]
After what you've done for us %pcf, I'd love to tell you about %key. However, I don't know.[/end]"
8604,"熟悉的声音带着嘲讽的笑声，[/center]
“所以，%pcn，来付钱吧[/center]
您的敬意终于到位了吗？”[/center]
[/结尾]","A familiar voice laughs mockingly,[/center]
""So, %pcn, come to pay[/center]
your respects properly at last?""[/center]
[/end]"
8565,"%fpc 和 %fnpc[/center]
可能都与%fa结盟，[/center]
但我不是你的朋友。[/center]
[/记录]
看，%fnpc 喜欢 %fa，[/center]
但我不这么认为。 %fpc也是[/center]
和他们在一起很舒服。现在你知道为什么我不给你一天中的时间了。[/center]
[/记录]
多么行人啊。我很无聊。[/center]
[/结尾]","%fpc and %fnpc[/center]
may both be allied to %fa,[/center]
but I'm not a friend of yours.[/center]
[/record]
Look, %fnpc likes %fa,[/center]
but I don't. %fpc is also[/center]
cozy with them. Now you know why I wouldn't give you the time of day.[/center]
[/record]
How pedestrian. I'm bored.[/center]
[/end]"
8535,"当法师公会的魔法物品半价时。[/记录]
这一天，%cn 的所有寺庙都不向公众开放，以便神职人员为死者祈祷。[/record]
当亡灵走在%cn的街道上时。[/record]
这是在法师公会便宜购买魔法物品的最佳日子。[/记录]
生病的时间不好，因为泰姆瑞尔各地的所有寺庙都关闭祈祷。[/结束]","when magical items are half price in the Mages Guild.[/record]
the day all temples in %cn are closed to the public so the clergies may pray for the dead.[/record]
when the undead walk the streets of %cn.[/record]
the best day to pick up a magical item cheaply over at the Mages Guild.[/record]
a bad time to get sick, for all the temples all over Tamriel close for prayers.[/end]"
8403,"在一年的最后一天，帝国庆祝[/中心]
这个节日叫做“旧生活”。很多人去寺庙[/中心]
反思他们的过去。有些人的追求超过[/center]
这个，因为有传言说牧师会作为[/center]
今年的最后一幕在[/center]上进行复活
心爱的朋友和家人免受伤害[/center]
平时收费。崇拜者比[/center]更清楚
期待这种慈善事业，但他们到达了[/center]
令人毛骨悚然的游行队伍与最近去世的人一起[/center]
尽管如此。[/中心]
[/结尾]","On the last day of the year the Empire celebrates[/center]
the holiday called Old Life. Many go to the temples[/center]
to reflect on their past. Some go for more than[/center]
this, for it is rumored that priests will as the[/center]
last act of the year perform resurrections on[/center]
beloved friends and family members free of the[/center]
usual charge. Worshippers know better than to[/center]
expect this philanthropy, but they arrive in a[/center]
macabre procession with the recently deceased[/center]
nevertheless.[/center]
[/end]"
8600,在此插入动作类型 11...（请勿翻译）[/end],Insert action type 11 here... (do not translate)[/end]
9000.14,"14. 你的武器大师在战略课上[/左]
     评论，“最好的胜利是完全并且[/左]
     彻底羞辱你的对手”。然后他转向你[/左]
     并询问你是否同意他的观点。你知道吗[/左]
     武器大师经历过无数生死[/左]
     冲突且有经验丰富的人[/左]
     战士。你是吗：[/左]
 a) 同意他的言论，知道此时此刻[/left]
     你的经验不足以证明任何立场[/左]
     但完全同意你的武器大师的意见[/左]
     说，一个毕生致力于战略的人？[/左]
 b) 不同意他的言论，认为一定是[/left]
     某种类型的测试，真相只会出现[/left]
     来自与他的意见的反对，而不是像绵羊一样[/左]
     同意吗？[/左]
c) 拒绝回答问题，选择不回答[/left]
     意见，直到你有更多的经验并且可以[/左]
     以聪明的方式与[/左]讨论这个主题
     他？[/左]","14.    Your Armsmaster during a lesson on strategy[/left]
     remarks, 'The best victory is to completely and[/left]
     totally humiliate your opponent'. He then turns to you[/left]
     and asks you if you agree with him. You know the[/left]
     Armsmaster has been in numerous life and death[/left]
     conflicts and has the experience of a seasoned[/left]
     warrior. Do you:[/left]
 a)  Agree with his remark, knowing that at this moment[/left]
     your experience is not enough to justify any stance[/left]
     but total agreement with whatever your Armsmaster[/left]
     says, a man who has dedicated his life to strategy?[/left]
 b)  Disagree with his remark, reasoning that it must be[/left]
     some type of test, and that the truth will only come[/left]
     from opposition with his opinion, and not sheep-like[/left]
     agreement?[/left]
c)  Refuse to answer the question, choosing to withhold an[/left]
     opinion until you have more experience and can[/left]
     converse on the subject in an intelligent manner with[/left]
     him?[/left]"
9000.17,"17. 在一个阳光明媚的下午钓鱼时，你发现[/左]
     你丢弃的靴子现在满是蚂蚁[/左]
     忙着从一块面包中走出来[/左]
     掉到他们的蚁丘上。你是吗：[/左]
 a) 拿起靴子，把所有的蚂蚁都洗掉，甚至[/左]
     虽然你要等到黄昏才离开？[/left]
 b) 观察蚂蚁，好奇它们是如何工作的[/左]
     高效、满足于生活和让别人生活？[/left]
 c) 用树叶做船，然后把每只蚂蚁都送下去[/左]
     流着小溪打发时间，直到鱼儿上钩？[/左]","17.    While fishing one sunny afternoon you find that the[/left]
     boots which you discarded are now full of ants who are[/left]
     busily making their way from a piece of bread you[/left]
     dropped to their anthill. Do you:[/left]
 a)  Pick up the boots wash all the ants off now, even[/left]
     though you are not leaving until dusk?[/left]
 b)  Watch the ants, curious as to how they work so[/left]
     efficiently, and content to live and let live?[/left]
 c)  Make boats out of leaves and then send each ant down[/left]
     the stream to pass the time until a fish bites?[/left]"
9000.29,"29. 你的武器大师向[/左]介绍了一名新学生
     班级 - 一个名叫泰斯（Tys）的小而笨拙的男孩，他不[/左]
     似乎有任何天赋。班级是[/左]
     分成两方进行模拟战，作为其中之一[/左]
     “将军”，你要指派你的士兵。泰斯[/左]
     是你的手下之一。您决定：[/左]
a) 让泰斯和其他战士一起站在前线，[/左]
     合理化认为在任何现实的战斗中，他都会[/左]
     无论如何，可能都会有伤亡，而且一定有[/left]
     一些牺牲。[/左]
 b) 使用泰斯作为侦察员，合理化这一点是因为他[/左]
     体型小，他可能会擅长潜入[/左]
     并收集有关敌人的信息。[/左]
 c) 在 [/left] 期间将 Tys 分配给多个职位
     战斗，靠近并帮助他，这样他就能获得[/左]
     宝贵的经验和改进。[/左]","29.    Your Armsmaster introduces a new student to the[/left]
     class - a small, awkward boy named Tys who does not[/left]
     seem to have any natural talent at all. The class is[/left]
     divided into two sides for a mock battle and, as one of[/left]
     the 'generals', you are to assign your soldiers. Tys[/left]
     is one of your men. You decide to:[/left]
a)  Put Tys at the frontline with the other fighters,[/left]
     rationalizing that in any realistic battle, he would[/left]
     probably be a casualty anyway, and that there must be[/left]
     some sacrifices.[/left]
 b)  Use Tys as a scout, rationalizing that because of his[/left]
     small size he would probably be good at sneaking in[/left]
     and gathering information on the enemy.[/left]
 c)  Assign Tys to several posts during the course of the[/left]
     battle, staying near and helping him so he can gain[/left]
     valuable experience and improve.[/left]"
9000.8,"8. 你妈妈请你帮忙修炉子。同时[/左]
     你正在工作，一根非常热的管道滑脱了系泊装置[/左]
     并向她坠落。你是吗：[/左]
 a) 把你妈妈推开？[/左]
b) 抓住热管并尝试将其推开？[/left]
 c) 将自己置于管道和母亲之间？[/left]","8.   Your mother asks you to help fix the stove. While[/left]
     you are working, a very hot pipe slips its moorings[/left]
     and falls towards her. Do you:[/left]
 a) Push your mother out of the way?[/left]
b) Grab the hot pipe and try and push it away?[/left]
 c) Position yourself between the pipe and your mother?[/left]"
9000.16,"16. 一个老人在去市场的路上拦住你，[/左]
     声称自己被抢劫了。他躺在小路上[/左]
     并且看起来受了重伤。他让你跑到城里[/左]
     并找到警察。你向他保证你[/离开]
     将直接进城并把警察带回来。[/left]
     当你回来时，你注意到一个可疑的人[/左]
     沿着另一条小路爬行。他好像没有[/左]
     还没注意到你呢。你是吗：[/左]
 a) 跟随这个人，推理如果这个人是[/left]
     强盗，你可以直接带领警察去找他[/左]
     并保护其他旅行者，尽管这意味着[/左]
     你违背诺言了吗？[/左]
 b) 记下他但继续，推理[/left]
     路上的人伤得太重，无法停下来，无论如何[/左]
     还有其他考虑吗？[/左]
 c) 记下他但继续，推理你的[/left]
     单词是你的纽带，它优先于[/left]
     还有什么吗？[/左]","16.    An old man stops you on the way to market,[/left]
     claiming to have been robbed. He is lying on the trail[/left]
     and seems gravely injured. He asks you to run to town[/left]
     and get the constable. You give him your word that you[/left]
     will go directly to town and bring the constable back.[/left]
     As you make your way back you notice a suspicious man[/left]
     creeping along another trail. He doesn't seem to[/left]
     notice you yet. Do you:[/left]
 a)  Follow the man, reasoning that if this man is the[/left]
     robber you could lead the constable directly to him[/left]
     and safeguard other travelers, although it would mean[/left]
     breaking your word?[/left]
 b)  Take note of him but continue on, reasoning that the[/left]
     man on the trail is hurt too badly to stop, regardless[/left]
     of any other consideration?[/left]
 c)  Take note of him but continue on, reasoning that your[/left]
     word is your bond and that it takes precedence over[/left]
     anything else?[/left]"
9000.5,"5. 你妈妈带你去市场，带着一份清单[/左]
    要购买的商品。完成后你发现错了[/left]
    店主给了你太多的钱[/左]
    兑换其中一件物品。你是吗：[/左]
 a) 返回商店并将他的硬盘交给店主[/left]
    赚了钱，向他解释错误？[/左]
 b) 把多余的钱装进口袋，知道店主在[/left]
    无论如何，一般都会向客户收取过高的费用？[/left]
 c) 决定好好利用多余的钱并购买[/left]
    对您的家人有帮助的物品吗？[/左]","5.   Your mother sends you to the market with a list of[/left]
    goods to buy. After you finish you find that by mistake[/left]
    a shopkeeper has given you too much money back in[/left]
    exchange for one of the items. Do you:[/left]
 a) Return to the store and give the shopkeeper his hard-[/left]
    earned money, explaining to him the mistake?[/left]
 b) Pocket the extra money, knowing that shopkeepers in[/left]
    general tend to overcharge customers anyway?[/left]
 c) Decide to put the extra money to good use and purchase[/left]
    items that would help your family?[/left]"
1279,"变形自我[/center]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“使目标转变为生物或物体[/center]
由施法者选择。成功的基本几率[/center]
多态性是%bch，加上[/center]的每个%clc级别的%ach
施法者。变身持续 %bdr 轮，[/center]
施法者每 %cld 等级加上 %adr 轮。""[/center]
[/结尾]","Morph Self[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target to transform into a creature or object[/center]
selected by the caster. The base chance of successfully[/center]
polymorphing is %bch, plus %ach for every %clc level(s) of[/center]
the caster. Transformation lasts %bdr round(s),[/center]
plus %adr round(s) for every %cld level(s) of the caster.""[/center]
[/end]"
1203,"持续伤害——健康[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/center]
“导致目标生命值受损。[/center]
目标将失去 %1bm 到 %2bm 点生命值[/center]
每轮，每 %clm 等级加 %1am 至 %2am 积分[/center]
施法者的。”[/center]
[/结尾]","Continuous Damage -- Health[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Causes target's health to be damaged.[/center]
Target will lose %1bm to %2bm points of health[/center]
every round, plus %1am to %2am points for every %clm level(s)[/center]
of the caster.""[/center]
[/end]"
1215,"解体[/中心]
持续时间：N/A + N/A 每 1 级[/center]
几率：每 %clc 等级 %bch + %ach[/center]
幅度：N/A + N/A 每 N/A 级别[/center]
“导致目标解体。[/center]
基本成功几率为 %bch，加上每 %clc 级别的 %ach[/center]
施法者的。”[/center]
[/结尾]","Disintegrate[/center]
Duration: N/A + N/A per 1 level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: N/A + N/A per N/A level(s)[/center]
""Causes target to disintegrate.[/center]
Base chance of success is %bch, plus %ach for every %clc level(s)[/center]
of the caster.""[/center]
[/end]"
1560,"隐形（普通）[/center]
目标变得不可见。如果目标被驱散[/center]
攻击任何东西。[/center]
持续时间：回合目标保持隐形。[/center]
机会：不适用[/center]
震级：不适用[/中心]
[/结尾]","Invisibility (Normal)[/center]
Target becomes invisible. Dispelled if target[/center]
attacks anything.[/center]
Duration: Rounds target remains invisible.[/center]
Chance: N/A[/center]
Magnitude: N/A[/center]
[/end]"
1539,"增强运气[/center]
增加目标的运气。[/center]
持续时间：回合属性增加持续。[/center]
机会：不适用[/center]
幅度：属性增加量。[/center]
[/结尾]","Fortify Luck[/center]
Increases target's Luck.[/center]
Duration: Rounds Attribute increase lasts.[/center]
Chance: N/A[/center]
Magnitude: Amount of Attribute increase.[/center]
[/end]"
2058,"我们是一座供奉[/center]之神泽尼萨尔的神庙
商业以及商人和雇佣兵的赞助人。[/center]
很久以前，在我们运动诞生之际，我们的祖先[/center]
让我们成为一座独一无二的寺庙：一个注定的[/center]
适应性强，但能抵御时间的风暴。我们[/中心]
因此被称为决议，一个远多[/中心]
比寺庙更具有描述性的术语。[/center]
[/中心]
泽尼萨的决议有利于那些赞成的人[/center]
我们——我们不会选择隐藏在[/center]之类的词后面
捐赠、礼物、赎罪券。与[/中心]成比例
您对决议的付款，您的技能[/center]
与其他商家讨价还价会增加，但是[/center]
暂时地。如果你想提高自己的技能[/center]
永久地，您可能希望加入决议[/center]
并与我们的培训师会面。[/center]
[/中心]
邀请加入泽尼萨决议[/center]
没有开放。只有那些已经拥有[/center]
甚至会考虑一些最低限度的技能。它[/中心]
不会奖励我们浪费时间[/center]
新手。如果没有别的，我们是专业的。[/center]
[/中心]
您有兴趣加入吗？[/center]
[/结尾]","We are a temple devoted to Zenithar, the God of[/center]
Commerce and Patron of Merchants and Mercenaries.[/center]
Long ago, in our movement's birth, our forefathers[/center]
made us a temple like no other: one meant to be[/center]
adaptable, but resilient to the storm of time. We[/center]
are thus called Resolutions, a far more[/center]
descriptive term than temples.[/center]
[/center]
The Resolution of Zenithar favors those who favor[/center]
us -- we do not choose to hide behind words like[/center]
donations, gifts, indulgences. In proportion to[/center]
your payment to the Resolution, your skill in[/center]
haggling with other merchants will increase, but[/center]
temporarily. If you wish to increase your skill[/center]
permanently, you may wish to join the Resolution[/center]
and meet with our trainers.[/center]
[/center]
The invitation to join the Resolution of Zenithar[/center]
is not open. Only those already possessing a[/center]
few minimum skills will even be considered. It[/center]
does not reward us to waste our time with[/center]
neophytes. If nothing else, we are professionals.[/center]
[/center]
Are you perhaps interested in joining?[/center]
[/end]"
2003,"布列塔尼人来自高岩省。[/center]
你们属于高个子、皮肤白皙的民族，[/center]
非常聪明和任性。魔法似乎[/中心]
融入了布列塔尼人民的本质。[/center]
作为一个种族，他们对影响的抵抗力更强[/center]
敌对魔法比任何其他团体都多，并且[/center]
因此在所有奥术艺术中都表现出色。[/center]
你的角色是布列塔尼人吗？[/center]
[/结尾]","Bretons hail from the province of High Rock.[/center]
You are part of a tall, fair-skinned people,[/center]
highly intelligent and willful. Magic seems to[/center]
infuse the very being of the Breton people.[/center]
As a race, they are more resistant to the effects[/center]
of hostile magic than any other group, and[/center]
thus are excellent in all arcane arts.[/center]
Is your character to be a Breton?[/center]
[/end]"
2110,"小偷以善于使用而闻名[/center]
隐秘、速度和狡猾的偷窃行为[/center]
活的。六项最重要的技能[/center]
小偷有：扒窃、潜行、短刃、[/center]
背后刺伤、攀爬和开锁。[/center]
你希望你的角色成为小偷吗？[/center]
[/结尾]","Thieves are well known for their adeptness in using[/center]
stealth, speed, and cunning to steal for a[/center]
living. The six most important skills to[/center]
a Thief are: Pickpocketing, Stealth, Short Blade,[/center]
Backstabbing, Climbing, and Lockpicking.[/center]
Do you wish your character to be a Thief?[/center]
[/end]"
2077,"我们是女神坚强的臂膀[/center]
Kynareth，她神庙的一个分支[/center]
致力于为她的事业奋斗[/center]
泰姆瑞尔。凯纳兰教团成员[/center]
我们因我们的技能和忠诚而感到荣幸[/中心]
由圣殿提供，并拥有完全访问权限[/center]
内在的祝福和服务。[/center]
根据个人排名[/center]
当然是顺序。[/center]
[/中心]
可能纳入的候选者[/center]
Kynaran 教团是在 [/center] 上选择的
他们的战斗技能和他们的基础[/中心]
在圣殿中的声誉。[/center]
[/结尾]","We are the strong arm of the Goddess[/center]
Kynareth, an off-shoot of her temple[/center]
devoted to fighting her causes all over[/center]
Tamriel. Members of the Kynaran Order[/center]
are honored for our skill and loyalty[/center]
by the Temple, and given full access[/center]
to the blessings and services within.[/center]
According to individual rank in the[/center]
Order, of course.[/center]
[/center]
Possible candidates for inclusion in[/center]
the Kynaran Order are chosen on the[/center]
basis of their combat skills and their[/center]
reputation with the Temple.[/center]
[/end]"
4075,"出血[/记录]
永恒[/记录]
无限[/记录]
燃烧[/记录]
可怕[/记录]
欢乐[/记录]
永久[/记录]
神圣[/记录]
圣[/记录]
内[/记录]
有福了[/记录]
温柔[/记录]
哀嚎[/记录]
唱歌[/记录]
哭泣[/记录]
沉默[/记录]
笑[/完]","Bleeding[/record]
Eternal[/record]
Infinite[/record]
Burning[/record]
Fearful[/record]
Joyous[/record]
Perpetual[/record]
Sacred[/record]
Holy[/record]
Inner[/record]
Blessed[/record]
Gentle[/record]
Wailing[/record]
Singing[/record]
Weeping[/record]
Silent[/record]
Laughing[/end]"
4229,"陪练[/记录]
拳击[/完]","sparring[/record]
boxing[/end]"
4244,光之咒[/完],Light spell[/end]
4210,"奇术[/记录]
审美[/记录]
感觉[/完]","thaumaturgy[/record]
esthetic[/record]
sense[/end]"
1270,"法术抗力[/中心]
持续时间：%bdr + %adr 每 %cld 级别[/center]
几率：每 %clc 等级 %bch + %ach[/center]
震级：%1bm - %2bm + %1am - %2am[/center]
每 %clm 级别[/中心]
“目标能够抵抗传入的法术。基本几率为[/center]
成功率是%bch，加上施法者每%clc等级%ach。[/center]
抵抗持续 %bdr 轮，加上 %adr 轮[/center]
每 %cld 施法者等级。""[/center]
[/结尾]","Spell Resistance[/center]
Duration: %bdr + %adr per %cld level(s)[/center]
Chance: %bch + %ach per %clc level(s)[/center]
Magnitude: %1bm - %2bm + %1am - %2am[/center]
per %clm level(s)[/center]
""Target is able to resist incoming spells. Base chance of[/center]
success is %bch, plus %ach every %clc level(s) of the caster.[/center]
Resistance lasts %bdr round(s), plus %adr round(s) for[/center]
every %cld level(s) of caster.""[/center]
[/end]"
4254,感知其他世界更微妙的能量[/结束],perceive the more subtle energies of other worlds[/end]
